"scien_name","ICES","Sweden gillnet","Finland gillnet","number_datasets"
"Sardina pilchardus",1,0,0,1
"Scomber scombrus",1,1,0,2
"Scophthalmus maximus",1,0,1,2
"Scophthalmus rhombus",1,1,0,2
"Scyliorhinus canicula",1,0,0,1
"Scyliorhinus stellaris",1,0,0,1
"Scyphozoa",1,0,0,1
"Sebastes viviparus",1,0,0,1
"Solea solea",1,1,0,2
"Soleidae",1,0,0,1
"Sparus aurata",1,0,0,1
"Spinachia spinachia",1,1,1,3
"Sprattus sprattus",1,1,1,3
"Squalus acanthias",1,0,0,1
"Symphodus melops",1,1,0,2
"Syngnathidae",1,0,0,1
"Syngnathus",1,0,0,1
"Syngnathus acus",1,1,0,2
"Syngnathus rostellatus",1,1,0,2
"Syngnathus typhle",1,1,1,3
"Taurulus bubalis",1,1,1,3
"Trachinus draco",1,1,0,2
"Trachurus trachurus",1,1,0,2
"Triglops",1,0,0,1
"Trisopterus esmarkii",1,1,0,2
"Trisopterus luscus",1,1,0,2
"Trisopterus minutus",1,1,0,2
"Vimba vimba",1,1,1,3
"Zeugopterus norvegicus",1,0,0,1
"Zeugopterus punctatus",1,1,0,2
"Zeus faber",1,0,0,1
"Zoarces viviparus",1,1,1,3
"_absence",1,1,1,3
"Alburnus alburnus",0,1,1,2
"Astacus astacus",0,1,0,1
"Aythya fuligula",0,1,0,1
"Blicca bjoerkna",0,1,1,2
"Bucephala clangula",0,1,0,1
"Carassius carassius",0,1,1,2
"Centrolabrus exoletus",0,1,0,1
"Chirolophis ascanii",0,1,0,1
"Coregonus maraena",0,1,1,2
"Corystes cassivelaunus",0,1,0,1
"Cottus gobio",0,1,1,2
"Cottus poecilopus",0,1,0,1
"Eriocheir sinensis",0,1,0,1
"Galathea strigosa",0,1,0,1
"Gobiusculus flavescens",0,1,0,1
"Gymnocephalus cernuus",0,1,0,1
"Hemigrapsus sanguineus",0,1,0,1
"Hyas araneus",0,1,0,1
"Hyas coarctatus",0,1,0,1
"Labrus mixtus",0,1,0,1
"Leuciscus idus",0,1,1,2
"Leuciscus leuciscus",0,1,1,2
"Liocarcinus depurator",0,1,0,1
"Liocarcinus navigator",0,1,0,1
"Liparis liparis",0,1,0,1
"Macropodia rostrata",0,1,0,1
"Melanitta fusca",0,1,0,1
"Melanitta nigra",0,1,0,1
"Mergus merganser",0,1,0,1
"Oncorhynchus mykiss",0,1,1,2
"Pagurus bernhardus",0,1,0,1
"Phoca vitulina",0,1,0,1
"Phoxinus phoxinus",0,1,0,1
"Phrynorhombus norvegicus",0,1,0,1
"Pisidia longicornis",0,1,0,1
"Podiceps cristatus",0,1,0,1
"Psetta maxima",0,1,0,1
"Salvelinus alpinus",0,1,0,1
"Scardinius erythrophthalmus",0,1,1,2
"Somateria mollissima",0,1,0,1
"Squalius cephalus",0,1,1,2
"Thymallus thymallus",0,1,1,2
"Tinca tinca",0,1,1,2
"Triglopsis quadricornis",0,1,0,1
"Upogebia deltaura",0,1,0,1
"Carassius gibelio",0,0,1,1
"Cyprinus carpio",0,0,1,1
"Leuciscus aspius",0,0,1,1
"Pelecus cultratus",0,0,1,1
